insert into basicinfo values
(1, 'nps', 29, '0', 'programmer', '20000703'),
(201, 'ymu', 10, '0', 'student', '20090113'),
(202, 'ktd', 36, '0', 'scientist', '20100305'),
(203, 'hoep', 27, '0', 'scientist', '20110110'),
(204, 'gnbei', 37, '1', 'diver', '20041103'),
(205, 'esxyz', 26, '0', 'cleaner', '20090922'),
(206, 'gpmwdi', 36, '1', 'teacher', '20010910'),
(207, 'mrvd', 32, '0', 'scientist', '20041129'),
(208, 'ihdb', 34, '0', 'teacher', '20011222'),
(209, 'muqwbd', 32, '1', 'doctor', '20040616'),
(210, 'jbhnkz', 19, '0', 'student', '20141125'),
(211, 'atgfvx', 22, '0', 'cleaner', '20020604'),
(212, 'tei', 45, '1', 'cleaner', '20101128'),
(213, 'qtlub', 30, '0', 'diver', '20180718'),
(214, 'ysgm', 15, '0', 'scientist', '20080712'),
(215, 'nsmvol', 15, '1', 'programmer', '20140210'),
(216, 'rhkmb', 41, '1', 'student', '20001008'),
(217, 'ofbzhx', 36, '0', 'diver', '20160307'),
(218, 'chwu', 36, '0', 'scientist', '20030731'),
(219, 'rgtl', 46, '0', 'actor', '20050619'),
(220, 'qoh', 20, '1', 'doctor', '20041020'),
(221, 'uczhpd', 33, '0', 'actor', '20011219'),
(222, 'uyvf', 13, '1', 'artist', '20040727'),
(223, 'cobd', 26, '0', 'programmer', '20030315'),
(224, 'wyb', 17, '1', 'scientist', '20030608'),
(225, 'octxsg', 21, '0', 'actor', '20030822'),
(226, 'dusw', 31, '1', 'doctor', '20120909'),
(227, 'qikg', 61, '0', 'doctor', '20170117'),
(228, 'ngro', 43, '1', 'artist', '20151124'),
(229, 'voyal', 35, '1', 'actor', '20000206'),
(230, 'qidtn', 32, '1', 'artist', '20131223'),
(231, 'ncjfy', 32, '0', 'student', '20110915'),
(232, 'dcmu', 19, '1', 'diver', '20090218'),
(233, 'hbki', 21, '1', 'student', '20140919'),
(234, 'qcxwik', 39, '0', 'artist', '20130712'),
(235, 'uaxj', 17, '0', 'student', '20070920'),
(236, 'hagfd', 13, '0', 'teacher', '20081202'),
(237, 'pdlzc', 28, '0', 'programmer', '20191206'),
(238, 'vkdmnz', 24, '0', 'doctor', '20140502'),
(239, 'xlk', 24, '0', 'doctor', '20000131'),
(240, 'nrs', 10, '0', 'cleaner', '20170531'),
(241, 'tnd', 24, '1', 'doctor', '20170104'),
(242, 'mzci', 15, '1', 'diver', '20031122'),
(243, 'wvil', 26, '0', 'doctor', '20100509'),
(244, 'vdnk', 49, '1', 'scientist', '20070408'),
(245, 'ctndwo', 37, '1', 'doctor', '20160806'),
(246, 'kzesb', 16, '1', 'diver', '20000801'),
(247, 'uinyev', 19, '1', 'student', '20130504'),
(248, 'zbslo', 19, '0', 'teacher', '20180701'),
(249, 'pasje', 14, '1', 'teacher', '20170409'),
(250, 'ftgqz', 26, '1', 'teacher', '20040629'),
(251, 'gcp', 30, '1', 'doctor', '20110310'),
(252, 'yokdl', 50, '1', 'doctor', '20050618'),
(253, 'vrb', 17, '1', 'cleaner', '20171018'),
(254, 'cltxj', 28, '0', 'student', '20190522'),
(255, 'eyocu', 33, '1', 'teacher', '20100117'),
(256, 'ozncq', 11, '0', 'programmer', '20120323'),
(257, 'olmufy', 24, '0', 'scientist', '20071102'),
(258, 'gmz', 20, '1', 'scientist', '20010321'),
(259, 'bwg', 21, '0', 'cleaner', '20200225'),
(260, 'pnwao', 20, '0', 'doctor', '20140502'),
(261, 'cyi', 29, '0', 'scientist', '20121025'),
(262, 'xyh', 49, '0', 'doctor', '20140802'),
(263, 'fqsbyg', 39, '0', 'cleaner', '20110826'),
(264, 'xmurpf', 63, '1', 'diver', '20170820'),
(265, 'cdb', 37, '0', 'scientist', '20070819'),
(266, 'ybn', 23, '0', 'scientist', '20101011'),
(267, 'vwotq', 63, '0', 'artist', '20110504'),
(268, 'yrf', 23, '0', 'doctor', '20101017'),
(269, 'uoynmt', 26, '1', 'programmer', '20150123'),
(270, 'zovi', 57, '1', 'scientist', '20181114'),
(271, 'eaxw', 39, '0', 'diver', '20120105'),
(272, 'baez', 29, '1', 'scientist', '20030201'),
(273, 'doftbw', 56, '1', 'student', '20160814'),
(274, 'dbr', 43, '0', 'teacher', '20050914'),
(275, 'vmkc', 10, '1', 'programmer', '20180809'),
(276, 'dgwpmt', 47, '1', 'cleaner', '20200629'),
(277, 'oqnsz', 17, '0', 'doctor', '20110519'),
(278, 'tkyrlw', 44, '0', 'scientist', '20020326'),
(279, 'ejck', 20, '1', 'actor', '20020629'),
(280, 'eyomqv', 20, '0', 'actor', '20190103'),
(281, 'nph', 10, '0', 'programmer', '20050501'),
(282, 'ufh', 32, '0', 'teacher', '20140422'),
(283, 'xmieoj', 17, '0', 'student', '20150310'),
(284, 'ysbmvx', 22, '0', 'cleaner', '20121119'),
(285, 'zvw', 30, '1', 'cleaner', '20021216'),
(286, 'mnr', 34, '1', 'teacher', '20021028'),
(287, 'mavq', 45, '0', 'cleaner', '20050905'),
(288, 'ewkotd', 26, '0', 'cleaner', '20160606'),
(289, 'uvm', 51, '1', 'cleaner', '20120707'),
(290, 'qoybhz', 22, '0', 'artist', '20030212'),
(291, 'yetgpo', 43, '1', 'artist', '20060127'),
(292, 'jpiuf', 21, '0', 'doctor', '20090309'),
(293, 'nkc', 61, '0', 'student', '20100630'),
(294, 'dozwhl', 55, '0', 'programmer', '20070712'),
(295, 'rod', 15, '0', 'actor', '20101110'),
(296, 'quje', 39, '0', 'cleaner', '20190211'),
(297, 'ycgwx', 32, '0', 'actor', '20120216'),
(298, 'qngjb', 47, '0', 'diver', '20140612'),
(299, 'mxua', 33, '0', 'student', '20000505'),
(300, 'ykiq', 41, '1', 'diver', '20010331'),
(301, 'qan', 14, '0', 'diver', '20130626'),
(302, 'bcd', 34, '1', 'programmer', '20110419'),
(303, 'prsci', 50, '1', 'programmer', '20140313'),
(304, 'dtrxfe', 21, '0', 'cleaner', '20200308'),
(305, 'ufsy', 52, '0', 'student', '20040619'),
(306, 'xdpkjc', 18, '1', 'diver', '20190811'),
(307, 'uhlkst', 27, '0', 'diver', '20020222'),
(308, 'dstq', 19, '1', 'teacher', '20170716'),
(309, 'zqwpa', 18, '1', 'cleaner', '20161220'),
(310, 'vthn', 33, '0', 'doctor', '20200424'),
(311, 'hmtqg', 27, '0', 'doctor', '20171020'),
(312, 'oburps', 18, '1', 'cleaner', '20151022'),
(313, 'idzqj', 39, '1', 'programmer', '20121210'),
(314, 'ypzona', 30, '0', 'teacher', '20080529'),
(315, 'yfvhn', 17, '1', 'artist', '20040229'),
(316, 'tquwok', 59, '1', 'teacher', '20120216'),
(317, 'bjdmcy', 20, '1', 'doctor', '20071202'),
(318, 'glfxai', 24, '1', 'diver', '20000709'),
(319, 'zoku', 17, '1', 'actor', '20090526'),
(320, 'dakioj', 15, '1', 'student', '20110103'),
(321, 'nbmlo', 32, '0', 'doctor', '20020106'),
(322, 'jimu', 35, '0', 'programmer', '20000615'),
(323, 'jawrt', 14, '1', 'artist', '20150309'),
(324, 'mky', 47, '0', 'teacher', '20200330'),
(325, 'ilwdbm', 52, '1', 'programmer', '20150509'),
(326, 'gfyepw', 15, '0', 'teacher', '20200311'),
(327, 'ohzld', 31, '1', 'cleaner', '20021130'),
(328, 'yvo', 26, '0', 'actor', '20060927'),
(329, 'usmpc', 81, '1', 'cleaner', '20060212'),
(330, 'znoi', 42, '0', 'teacher', '20110519'),
(331, 'slyj', 17, '0', 'teacher', '20030723'),
(332, 'rnjx', 24, '0', 'programmer', '20200213'),
(333, 'lug', 53, '1', 'cleaner', '20051113'),
(334, 'boqszx', 37, '1', 'diver', '20180121'),
(335, 'wvlj', 19, '0', 'artist', '20001130'),
(336, 'pfumil', 49, '0', 'artist', '20040418'),
(337, 'bcyzu', 21, '0', 'diver', '20110808'),
(338, 'xuiy', 50, '0', 'student', '20110418'),
(339, 'cnw', 30, '0', 'cleaner', '20120422'),
(340, 'ysrwqi', 16, '0', 'actor', '20060430'),
(341, 'xlkh', 38, '0', 'artist', '20200613'),
(342, 'xwpdy', 58, '0', 'doctor', '20051120'),
(343, 'txwsj', 31, '1', 'diver', '20160921'),
(344, 'iamjvx', 10, '1', 'artist', '20190815'),
(345, 'zsvxc', 20, '0', 'diver', '20191109'),
(346, 'kfwbgt', 25, '0', 'diver', '20061203'),
(347, 'xskml', 18, '1', 'student', '20141206'),
(348, 'czd', 15, '0', 'student', '20191011'),
(349, 'ugryt', 35, '1', 'student', '20170221'),
(350, 'fqk', 30, '1', 'artist', '20140607'),
(351, 'nidof', 21, '0', 'artist', '20120424'),
(352, 'lwm', 35, '0', 'diver', '20081201'),
(353, 'ywrga', 30, '0', 'artist', '20141006'),
(354, 'hdks', 31, '1', 'programmer', '20150330'),
(355, 'apiwnr', 20, '0', 'cleaner', '20120319'),
(356, 'rwzig', 25, '1', 'student', '20140226'),
(357, 'cvz', 32, '1', 'cleaner', '20061226'),
(358, 'eor', 18, '0', 'scientist', '20040316'),
(359, 'sjo', 20, '1', 'diver', '20151204'),
(360, 'rbea', 12, '1', 'programmer', '20070727'),
(361, 'asuw', 40, '0', 'diver', '20131009'),
(362, 'wqacz', 36, '0', 'programmer', '20080909'),
(363, 'dlfv', 30, '0', 'actor', '20080111'),
(364, 'ynaudb', 48, '1', 'teacher', '20100807'),
(365, 'qwvrb', 31, '1', 'teacher', '20020614'),
(366, 'mohjq', 15, '1', 'diver', '20150811'),
(367, 'eib', 27, '0', 'diver', '20010402'),
(368, 'wbz', 21, '1', 'scientist', '20120609'),
(369, 'rptgsc', 16, '0', 'actor', '20131010'),
(370, 'xejn', 43, '0', 'teacher', '20200219'),
(371, 'pdu', 25, '0', 'teacher', '20151111'),
(372, 'afqrny', 26, '0', 'diver', '20170102'),
(373, 'vtio', 11, '1', 'doctor', '20090516'),
(374, 'ilrx', 10, '0', 'actor', '20070916'),
(375, 'rcwye', 11, '0', 'programmer', '20070814'),
(376, 'tangsx', 27, '0', 'teacher', '20050921'),
(377, 'nhm', 11, '0', 'scientist', '20020914'),
(378, 'gmoh', 25, '1', 'artist', '20011012'),
(379, 'fzdpgy', 61, '1', 'artist', '20180407'),
(380, 'xzdfq', 37, '1', 'scientist', '20100219'),
(381, 'qdyfx', 13, '0', 'actor', '20010925'),
(382, 'exqi', 44, '0', 'student', '20070904'),
(383, 'nptuke', 11, '0', 'doctor', '20161001'),
(384, 'vlbay', 12, '0', 'cleaner', '20070901'),
(385, 'brt', 20, '1', 'diver', '20070831'),
(386, 'pjqnad', 53, '0', 'artist', '20100824'),
(387, 'ocgb', 26, '1', 'scientist', '20090304'),
(388, 'boz', 15, '0', 'diver', '20060613'),
(389, 'zxga', 36, '0', 'cleaner', '20020313'),
(390, 'pqxr', 24, '0', 'doctor', '20100429'),
(391, 'zchbe', 35, '1', 'student', '20000416'),
(392, 'xmp', 42, '0', 'diver', '20121127'),
(393, 'isrcg', 26, '0', 'student', '20031030'),
(394, 'vqwlsb', 11, '1', 'actor', '20120111'),
(395, 'nogext', 32, '1', 'artist', '20040410'),
(396, 'zok', 65, '1', 'student', '20170921'),
(397, 'canpu', 23, '0', 'diver', '20140108'),
(398, 'rwxgu', 24, '1', 'teacher', '20010918'),
(399, 'jsk', 10, '1', 'doctor', '20190507'),
(400, 'dnmbta', 36, '1', 'programmer', '20120801'),
(401, 'faesgj', 21, '0', 'student', '20051021'),
(402, 'dwulcr', 10, '0', 'teacher', '20161222'),
(403, 'ltgdo', 29, '1', 'doctor', '20150708'),
(404, 'tfmizr', 26, '1', 'actor', '20131008'),
(405, 'mfujk', 40, '0', 'student', '20030730'),
(406, 'hqv', 14, '1', 'student', '20070215'),
(407, 'hfco', 11, '1', 'programmer', '20110210'),
(408, 'wjpsxo', 27, '1', 'scientist', '20041001'),
(409, 'esaoq', 35, '0', 'scientist', '20160813'),
(410, 'xnjte', 37, '1', 'student', '20090323'),
(411, 'wta', 47, '0', 'artist', '20050802'),
(412, 'vxbme', 28, '1', 'student', '20020705'),
(413, 'jzg', 57, '0', 'programmer', '20060709'),
(414, 'hrmtv', 49, '0', 'programmer', '20070106'),
(415, 'ukhbno', 33, '1', 'programmer', '20040531'),
(416, 'kifvt', 18, '1', 'programmer', '20150526'),
(417, 'stzvd', 25, '0', 'scientist', '20120510'),
(418, 'ijed', 68, '0', 'teacher', '20170309'),
(419, 'rpiyvm', 22, '1', 'diver', '20120604'),
(420, 'ymcw', 22, '0', 'student', '20000903'),
(421, 'xict', 34, '0', 'scientist', '20081008'),
(422, 'gdf', 29, '1', 'scientist', '20140316'),
(423, 'kfw', 24, '1', 'doctor', '20110127'),
(424, 'hkmq', 29, '0', 'student', '20110725'),
(425, 'yquf', 57, '0', 'teacher', '20090507'),
(426, 'icl', 46, '0', 'doctor', '20000411'),
(427, 'ydwcrl', 51, '0', 'diver', '20131028'),
(428, 'jirf', 17, '0', 'programmer', '20010511'),
(429, 'ynzwi', 21, '0', 'scientist', '20150716'),
(430, 'sfp', 41, '1', 'programmer', '20131007'),
(431, 'lvshpq', 50, '0', 'programmer', '20040406'),
(432, 'aefhiu', 16, '0', 'programmer', '20190605'),
(433, 'awrys', 11, '0', 'doctor', '20101231'),
(434, 'bachkn', 36, '1', 'doctor', '20050619'),
(435, 'beya', 21, '0', 'scientist', '20131231'),
(436, 'yakqo', 13, '1', 'doctor', '20110713'),
(437, 'deujy', 53, '0', 'scientist', '20130623'),
(438, 'xtpwfv', 14, '1', 'scientist', '20031019'),
(439, 'qpvhe', 15, '0', 'actor', '20140509'),
(440, 'hadqfj', 14, '1', 'programmer', '20021022'),
(441, 'wquf', 18, '0', 'scientist', '20160415'),
(442, 'kpv', 15, '0', 'teacher', '20010606'),
(443, 'ngaiyw', 33, '0', 'student', '20170413'),
(444, 'lphnxc', 56, '0', 'doctor', '20061122'),
(445, 'spfm', 42, '0', 'cleaner', '20010531'),
(446, 'cvm', 14, '0', 'artist', '20090512'),
(447, 'iex', 71, '0', 'student', '20171218'),
(448, 'zgfqr', 21, '0', 'teacher', '20190728'),
(449, 'ypzvhm', 20, '0', 'programmer', '20110624'),
(450, 'eih', 19, '1', 'student', '20120823'),
(451, 'xefcq', 23, '0', 'diver', '20030909'),
(452, 'mslanc', 17, '0', 'student', '20190430'),
(453, 'alnmsf', 19, '0', 'programmer', '20130715'),
(454, 'jhb', 22, '0', 'diver', '20071023'),
(455, 'qtardp', 14, '1', 'teacher', '20070127'),
(456, 'kslh', 50, '1', 'programmer', '20110124'),
(457, 'yuv', 41, '1', 'doctor', '20031017'),
(458, 'biylrt', 44, '0', 'diver', '20070410'),
(459, 'xwkbce', 13, '0', 'diver', '20050114'),
(460, 'rfqyl', 12, '0', 'programmer', '20041221'),
(461, 'gbzjvy', 55, '1', 'scientist', '20040303'),
(462, 'dobcpn', 38, '1', 'programmer', '20051102'),
(463, 'bgfy', 45, '1', 'programmer', '20040508'),
(464, 'vryz', 34, '1', 'diver', '20180227'),
(465, 'dyvun', 29, '0', 'scientist', '20091204'),
(466, 'ylewo', 34, '1', 'student', '20110424'),
(467, 'nur', 15, '1', 'cleaner', '20090107'),
(468, 'ntws', 12, '0', 'artist', '20180210'),
(469, 'ufxl', 34, '0', 'artist', '20100715'),
(470, 'nsec', 28, '0', 'cleaner', '20001120'),
(471, 'uos', 12, '1', 'programmer', '20160519'),
(472, 'lzkwxv', 43, '0', 'cleaner', '20000925'),
(473, 'kngpx', 32, '0', 'diver', '20200509'),
(474, 'gjy', 31, '0', 'diver', '20070728'),
(475, 'dcrunk', 13, '0', 'doctor', '20190407'),
(476, 'uymae', 26, '1', 'scientist', '20010130'),
(477, 'edlcvf', 38, '1', 'scientist', '20060721'),
(478, 'hzc', 16, '0', 'doctor', '20010520'),
(479, 'tbzorp', 40, '0', 'programmer', '20161203'),
(480, 'spjybe', 32, '1', 'artist', '20180216'),
(481, 'svg', 55, '0', 'diver', '20091204'),
(482, 'azv', 53, '1', 'programmer', '20140416'),
(483, 'thv', 24, '1', 'scientist', '20181018'),
(484, 'ygd', 18, '1', 'cleaner', '20160820'),
(485, 'bouj', 27, '1', 'diver', '20100303'),
(486, 'ijnzhf', 19, '0', 'student', '20020912'),
(487, 'isjcdo', 42, '0', 'scientist', '20181111'),
(488, 'xah', 22, '1', 'scientist', '20180316'),
(489, 'bgkvzr', 23, '0', 'artist', '20180803'),
(490, 'vbi', 12, '1', 'cleaner', '20190501'),
(491, 'ruvl', 18, '1', 'cleaner', '20070402'),
